x,y,n_contacts
3.0,601.0,160
3.0,624.5,107
26.5,601.0,4
0.0,601.0,52487
22.0,601.0,1
92.0,601.0,1
201.5,601.0,1
128.5,601.0,1
312.0,601.0,1
165.0,601.0,1
19.0,601.0,2
55.5,601.0,1
238.0,601.0,1
35.0,601.0,2
146.0,601.0,1
182.5,601.0,1
36.5,601.0,1
273.0,766.0,1
73.0,601.0,1
273.0,875.5,1
109.5,601.0,1
273.0,656.5,1
273.0,839.0,1
273.0,620.0,1
273.0,729.5,1
273.0,912.0,1
273.0,693.0,1
273.0,802.5,1
282.0,750.5,1
282.0,788.0,1
282.0,713.0,1
273.0,744.0,1
273.0,705.0,1
273.0,666.0,1
273.0,627.0,1
273.0,794.5,1
33.0,601.0,2
264.0,618.0,1
70.5,601.0,2
164.0,600.5,1
16.5,601.0,2
20.0,601.0,5
3.0,582.5,53
42.0,601.0,2
120.0,600.0,1
42.0,600.0,2
159.0,600.0,1
81.0,600.0,1
21.0,601.0,7
264.0,600.5,1
166.5,600.5,1
69.5,600.5,1
21.0,600.5,9
118.0,600.5,1
46.5,601.0,1
139.5,601.0,1
93.0,601.0,1
64.5,600.5,1
108.0,600.5,1
151.5,600.5,1
63.0,600.5,1
105.0,600.5,1
147.0,600.5,1
282.0,600.5,1
132.0,600.5,1
95.0,600.5,1
206.0,600.5,1
169.0,600.5,1
58.0,600.5,1
247.0,900.0,1
135.5,601.0,1
273.0,631.0,1
273.0,691.0,1
81.0,601.0,1
273.0,751.0,1
143.0,600.5,1
273.0,575.5,1
282.0,631.0,1
116.0,601.0,1
68.0,601.0,1
164.0,601.0,1
282.0,630.5,1
247.0,600.5,1
128.0,600.5,1
83.0,600.5,1
173.0,600.5,1
28.0,601.0,4
77.0,601.0,2
273.0,561.0,1
273.0,522.0,1
196.0,600.0,1
80.5,600.0,1
257.0,444.0,1
157.5,600.0,1
273.0,463.5,1
119.0,600.0,1
273.0,600.0,1
306.0,864.5,1
49.0,600.5,2
145.0,600.5,1
97.0,600.5,1
95.5,600.5,1
142.0,600.5,1
264.0,761.0,1
264.0,618.5,1
264.0,666.0,1
264.0,713.5,1
273.0,786.0,1
273.0,737.0,1
273.0,688.0,1
273.0,731.0,1
273.0,683.5,1
297.0,884.5,1
273.0,778.5,1
56.5,600.5,1
71.0,600.0,1
109.5,600.0,1
282.0,756.0,1
282.0,805.0,1
282.0,883.5,1
306.0,902.5,1
282.0,673.0,1
282.0,724.0,1
282.0,775.0,1
282.0,826.0,1
282.0,877.0,1
282.0,622.0,1
282.0,580.5,1
291.0,900.0,1
273.0,985.5,1
273.0,908.5,1
273.0,813.5,1
273.0,861.0,1
273.0,923.0,1
258.0,1020.0,1
273.0,884.5,1
372.0,1020.0,1
300.0,1020.0,1
119.0,601.0,1
60.0,601.0,1
6.0,601.0,1
